Cacalotepec,English Translation,Comment,
nahkwaʔatəmətʲ,196_cook,,<n-ahkwaʔat-əmətʲ 1A-prepare?-PASTPL 'we cooked'
nʔuʔukəmətʲ,154_drink,,<n-ʔuʔuk-əmətʲ 1A-drink-PASTPL 'we drank'
ʣuʔutsəmətʲ,155_bite,,<n-tsuʔuts-əmətʲ 1A-bite-PASTPL 'we bit'
njahktsiʔitsəmətʲ,156_suck,,<n-jahk-tsiʔits-əmətʲ 1A-CAUS-suck-PASTPL 'we sucked'
taʔatsk,31_ear,,
mədoʔommətʲ,165_hear,,<n-mədoʔo-mətʲ 1A-hear-PASTPL 'we heard'
wiʔin,29_eye,,
niʔihʃəmətʲ,164_see,,<n-iʔihʃ-əmətʲ 1A-see-PASTPL 'we saw'
maʔaʔigaʔahəmətʲ,157_yawn,,<n-maʔa-ʔik-aʔaw-əmətʲ 1A-sleep-open-mouth-PASTPL 
maʔamətʲ,160_sleep,,<n-maʔa-mətʲ 1A-sleep-PASTPL 'we slept'
nejkʲoʔkəmətʲ,145_liedown,,<n-ejkʲoʔk-əmətʲ 1A-liedown-PASTPL 'we lied down'
gamaʔahəmətʲ,159_dream,,<n-ka-maʔah-əmətʲ 1A-head-sleep-PASTPL 'we dreamt'
nəɲaʔajəmətʲ,143_sit,,<nə-ɲaʔaj-əmətʲ 1A-sit-PASTPL 'we sat down'
dənaʔajəmətʲ,142_stand,,<n-tənaʔaj-əmətʲ 1A-stand-PASTPL 'we stood'
haʔaj,60_person,,
jiʔitʲəhk,61_man,,
toʃtʲəhk,62_woman,,
ninmiʃʲ,63_child,,
məməhaʔaj,67_husband,,
həʔəhtsp ,68_wife,,
taʔak,65_mother,,
teʔetʲ,66_father,,
təhk,102_house,,
məjtʲəhk,101_thatchroof,,
ʃəʔəw,64_name,,
nənaʔanəmətʲ,189_say,,<nə-naʔan-əmətʲ 1A-say-PASTPL 'we said'
təʔəpʃʲ,103_rope,,
ngodəʔəjəmətʲ,186_tieup,,<n-ko-təʔə-j-əmətʲ 1A-head-tieup-AP-PASTPL 'we tied up'
ʐuʔujəmətʲ,174_sew,,<n-ʃuʔu-j-əmətʲ 1A-sew-AP-PASTPL 'we sow'
ʃuʔuɲ,104_needle,,
mbaʔabojəmətʲ,180_hunt,,<n-paʔap-oj-əmətʲ 1A-hunt-AP-PASTPL 'we hant'
diʔipʃəmətʲ,197_shoot,,<n-tiʔip-ʃ-əmətʲ 1A-shoot-RFL?-PASTPL 'we shooted (at each other?)'
guʔuməmətʲ,191_stab,,<n-kuʔum-əmətʲ 1A-stab-PASTPL 'we stabbed'
wohpəmətʲ,176_hit,,<n-wohp-əmətʲ 1A-hit-PASTPL 'we hit'
mætsəmətʲ,193_steal,,<n-mæts-əmətʲ 1A-steal-PASTPL 'we stole'
njakʔoʔokəmətʲ,163_kill,,<n-jahk-ʔoʔok-əmətʲ 1A-CAUS-die-PASTPL 'we killed'
nʔoʔokəmətʲ,162_die,,<n-ʔoʔok-əmətʲ 1A-die-PASTPL 'we died'
gʲaʔahtəmətʲ,161_live,,n-kʲaʔaht-əmətʲ 1A-live-PASTPL 'we lived'
nʔæʔækʃəmətʲ,190_scratch,,<n-ʔæʔæk-ʃ-əmətʲ 1A-scratch-RFL?-PASTPL 'we scratched (each other?)'
boʔotəmətʲ,177_cut,,<n-poʔot-əmətʲ 1A-cut-PASTPL 'we cut'
keʔepʲ,98_wood,,
njahwakʃəmətʲ,178_split,,<n-jah-wak-ʃ-əmətʲ 1A-CAUS-split-RFL?-PASTPL 'we split (from each other?)
həʔəhp,119_sharp,,
kjahtijʲəʔəjp,120_bluntdull,, (is not sharp?)
duʔunəmətʲ,198_work,,<n-tuʔun-əmətʲ 1A-work-PASTPL 'we worked'
goʔohəmətʲ,195_plant,,<n-koʔoh-əmətʲ 1A-plant-PASTPL 'we planted'
nʔiʔihʃəmətʲ,194_choose,,<n-nʔiʔih-ʃəmətʲ 1A-see-PASTPL 'we saw (into it)'
nʔijakəmətʲ,141_grow,,<n-ʔijak-əmətʲ 1A-grow-PASTPL 'we grew'
giʔixəmətʲ,188_swell,,<n-kiʔix-əmətʲ 1A-swell-PASTPL 'we swelled'
mætsəmətʲ,187_squeeze,,<n-mæts-əmətʲ 1A-squeeze-PAATPL 'we squeezed'
ʐaʔahmətʲ,181_hold,,<n-ʃaʔah-mətʲ 1A-hold-PASTPL 'we held'
daʔahəmətʲ,179_dig,,<n-taʔah-əmətʲ 1A-dig-PASTPL 'we dag'
nhujəmətʲ,192_buy,,<n-huj-əmətʲ 1A-buy-PASTPL 'we bought'
njahkwaʔatsəmətʲ,199_open,,<n-jahk-waʔats-əmətʲ 1A-CAUS-open-PASTPL 'we opened'
mæʔæmətʲ,175_pound,,<n-mæʔæ-mətʲ 1A-pound-PASTPL 'we pounded'
nʔixpəhkəmətʲ,150_throw,,<n-ʔixpəhk-əmətʲ 1A-throw-PASTPL 'we threw'
gədaʔahəmətʲ,144_fall,,<n-kədaʔah-əmətʲ 1A-fall-PASTPL 'we fell'
uk,47_dog,,
hoʔon,48_bird,,
tutsaʔa,56_egg,,
jəmk,59_feather,,
kʲaʔak,58_wing,,<j-kaʔak POSS3-wing 'its wing'
gʲahkdihdəmətʲ,149_flyverb,,<j-kahk-tiht-əmətʲ 3A-wing-fly-PASTPL 'they flew'
tsuk,53_rat,,
tsuʔutʲ,90_meatflesh,,
on,92_fatgrease,,
piʔiʃʲ,57_tail,,
tsaʔaɲ,50_snake,,
tənəʔək,51_worm,,
at,52_louse,,
uʔuʃ,55_mosquito,,
poʃʲ,54_spider,,
ahkʃʲ,49_fish,,
puʔuts,128_rotten,,
ʃəʔəntʲ,96_branch,,
,97_leaf,,
►,95_root,,
►,100_flower,,
►,93_fruit,,
►,99_grass,,
►,81_earthsoil,,
►,80_stone,,
►,83_sand,,
►,74_water,,
►,173_flow,,
►,76_sea,,
►,91_salt,,
►,94_woodsforest,,
►,73_sky,,
►,71_moon,,
►,72_star,,
►,85_cloud,,
►,87_fog,,
►,84_rain,,
►,88_thunder,,
►,89_lightning,,
►,86_wind,,
►,171_blow,,
►,133_warm,,
►,134_cold,,
►,135_dry,,
►,136_wet,,
►,130_heavy,,
►,77_fire,,
►,172_burn,,
►,78_smoke,,
►,79_ash,,
►,106_black,,
►,107_white,,
►,108_red,,
►,110_yellow,,
►,109_green,,
►,112_small,,
►,111_big,,
►,114_short,,
►,113_long,,
►,116_thin,,
►,115_thick,,
►,117_narrow,,
►,118_wide,,
►,123_painfulsick,,
►,121_shyashamed,,
►,122_old,,
►,137_new,,
►,124_good,,
►,125_bad,,
►,126_correcttrue,,
►,70_night,,
►,69_day,,
►,5_year,,
►,18_when,,
►,151_hide,,
►,147_climb,,
►,26_at,,
►,25_ininside,,
►,23_above,,
►,24_below,,
►,20_this,,
►,21_that,,
►,132_near,,
►,131_far,,
►,17_where,,
►,8_i,,
►,11_yousg,,
►,12_heshe,,
►,10_weallincl,,
►,13_theyall,,
►,15_what,,
►,16_who,,
►,138_other,,
►,129_all,,
►,19_how,,
►,14_nonot,,
►,183_count,,
►,1_one,,
►,2_two,,
►,3_three,,
►,4_four,,
